trial_order,participant_ID,stim_id,condition,freq_category,word,subtlex_log10freq,stim_duration,start_time,end_time,key,reaction_time,accuracy,age,sex
89,12,117,nw,NW,groeken,0.0,0.4692290249433106,239.55126390000805,241.0898833000101,z,1.5386194000020623,0,32,male
90,12,200,nw,NW,fankel,0.0,0.5785260770975057,242.6335871000192,243.82934039999964,m,1.1957532999804243,1,32,male
91,12,21,rw,LF,schuiten,0.6021,0.6056009070294784,245.36596020002617,246.6851562000229,z,1.3191959999967366,1,32,male
92,12,6,rw,LF,puien,0.301,0.3691156462585034,248.2318211000529,249.0905441000359,z,0.8587229999830015,1,32,male
93,12,157,nw,NW,udel,0.0,0.3563038548752834,250.6312871000264,251.3995668000425,m,0.7682797000161372,1,32,male
94,12,126,nw,NW,zelijk,0.0,0.7470521541950114,252.9465298000141,253.896179900039,z,0.9496501000248828,0,32,male
95,12,119,nw,NW,doppel,0.0,0.3931292517006802,255.44589710002765,256.3609080000315,z,0.9150109000038356,0,32,male
96,12,148,nw,NW,kadders,0.0,0.5390929705215419,257.91154910001205,258.8606097000302,z,0.9490606000181288,0,32,male
97,12,60,rw,HF,vallen,3.8985,0.3511791383219955,260.4109188000439,261.34435940004187,z,0.9334405999979936,1,32,male
98,12,13,rw,LF,gevels,0.4771,0.8220181405895691,262.8934047000366,264.02760760003,z,1.1342028999933973,1,32,male
99,12,141,nw,NW,kimensie,0.0,0.666984126984127,265.575596700015,266.43916760000866,m,0.8635708999936469,1,32,male
100,12,48,rw,LF,balkons,0.9542,0.7699773242630386,267.97501000005286,269.0060357000329,z,1.0310256999800913,1,32,male
101,12,93,rw,HF,dacht,4.5313,0.4514512471655328,270.5573860000004,271.4223402000498,z,0.8649542000493966,1,32,male
102,12,172,nw,NW,vlump,0.0,0.573469387755102,272.973325900035,273.8399126000004,m,0.8665866999654099,1,32,male
103,12,145,nw,NW,bezans,0.0,0.7936507936507936,275.3889299000148,276.3696589000174,m,0.9807290000026114,1,32,male
104,12,70,rw,HF,juist,4.0152,0.5870521541950113,277.92151549999835,278.66157080000266,z,0.7400553000043146,1,32,male
105,12,179,nw,NW,monen,0.0,0.4788888888888888,280.2040150000248,281.24431050004205,m,1.040295500017237,1,32,male
106,12,131,nw,NW,rogenten,0.0,0.6747845804988662,282.78630279999925,283.8181803000043,m,1.0318775000050664,1,32,male
107,12,109,nw,NW,giep,0.0,0.4608390022675737,285.3695432000095,286.2445508000092,m,0.8750075999996625,1,32,male
108,12,174,nw,NW,bluurde,0.0,0.4874149659863945,287.78480790002504,288.7713968000025,m,0.9865888999775052,1,32,male
109,12,84,rw,HF,auto,4.3017,0.4550793650793651,290.3174542000052,291.10815710003953,z,0.7907029000343755,1,32,male
110,12,138,nw,NW,glaf,0.0,0.5436281179138323,292.65021610003896,294.0901002000319,m,1.4398840999929234,1,32,male
111,12,94,rw,HF,gedaan,4.5868,0.6245578231292517,295.63283150002826,296.90582820004784,z,1.2729967000195757,1,32,male
112,12,29,rw,LF,lanen,0.699,0.5240136054421769,298.4478688000236,299.6411663000472,m,1.1932975000236183,0,32,male
113,12,178,nw,NW,gimmel,0.0,0.4918140589569161,301.1806471000309,303.04777070001,m,1.8671235999790952,1,32,male
114,12,39,rw,LF,sjalot,0.7782,0.5982312925170068,304.59624790004455,305.9888795000152,z,1.3926315999706276,1,32,male
115,12,146,nw,NW,gewunnen,0.0,0.5544671201814059,307.5282671000459,308.6170210000128,m,1.0887538999668325,1,32,male
116,12,83,rw,HF,vraag,4.281,0.615827664399093,310.16112380003324,311.01368440000806,z,0.8525605999748223,1,32,male
117,12,27,rw,LF,flans,0.699,0.6479591836734694,312.56024459999753,313.73424890002934,m,1.174004300031811,0,32,male
118,12,184,nw,NW,rieve,0.0,0.4558049886621315,315.2758298999979,316.2471836000332,m,0.9713537000352516,1,32,male
